TP,FP,FN,TN,Precision,Recall,F1,IoU,Accuracy,Image,Inference_ms
192,78,972,171814,0.7111111108477366,0.1649484535940766,0.2677823961742068,0.1545893719682295,0.993932599852071,2506.rf.0293f921d67e517ebc9ee35b7c32dc63.jpg,2.038700011326
2053,1681,249,169073,0.5498125334614405,0.89183318849297,0.6802517751906202,0.5154406226333056,0.9888475406804734,2515.rf.ff5e3199ed1dd044ecd274b38761e272.jpg,2.132499997969717
1176,595,385,170900,0.664031620515865,0.7533632286512899,0.705882303097419,0.5454545454292461,0.9943370931952663,2531.rf.5984304ff6cfd2e3dd5c21f219d415e9.jpg,2.3453999892808497
1329,732,122,170873,0.6448326055000082,0.9159200550712666,0.7568336644493722,0.608795235885992,0.9950651812130178,2535.rf.1c9939260116325701f7944151a9aeb1.jpg,1.894799992442131
1127,737,78,171114,0.604613733873143,0.9352697094659527,0.7344411383116344,0.5803295571276864,0.9952905417899408,2555.rf.8ce6a08bbea2d1ea1693f796bd43e9a3.jpg,2.5931000127457082
1282,171,720,170883,0.8823124569248236,0.6403596403276544,0.7421128311037328,0.5899677864431676,0.9948513775887574,2575.rf.702ecb64c7c46731d4c1896e1221bcb7.jpg,1.945800002431497
3943,6812,226,162075,0.3666201766586088,0.9457903573771699,0.5284105735067884,0.3590747655007825,0.9593310835798816,2584.rf.ae6d3c785f229ad271065776e4263d7f.jpg,3.7643999967258424
4418,51,2776,165811,0.9885880509960039,0.6141228801693894,0.7576094871416122,0.6097998619653582,0.9836642474112426,3018.rf.8080fab394ada475a530ab47db3dc637.jpg,2.299099985975772
4211,66,1708,167071,0.9845686228434751,0.7114377428499504,0.8260101513590136,0.703592314106874,0.9897489829881657,3023.rf.6e959c0e312734aaf3a0c0486fc4a906.jpg,1.9261999987065792
3183,45,2105,167723,0.9860594795233563,0.6019288956013251,0.7475340064544354,0.5968498031015029,0.987576275887574,3049.rf.4cf26f933dc21c9d1fda9807c0b3d35d.jpg,2.2689000179525465
4467,14,3583,164992,0.996875697366729,0.5549068322912434,0.7129518333838037,0.553943452374083,0.9792148206360947,3063.rf.8e65e867e7dac42c2cbfcc6107ea6a5c.jpg,2.1838000102434307
3394,74,6223,163365,0.978662053028297,0.3529167099890515,0.5187619021876548,0.3502218553260734,0.9636129345414202,3067.rf.006b54ea05537cb110efb4e8ee046272.jpg,2.158499992219731
1258,17,4620,167161,0.986666666589281,0.2140183735928204,0.35174049914478206,0.21340118744336894,0.9732052052514792,3068.rf.c15cd50686e78f2840ab43aa578e1d7d.jpg,2.4000999983400106
2477,35740,1650,133189,0.06481408797115207,0.6001938453937438,0.11699412561456629,0.062131587528376525,0.7839427699704142,3093.rf.842f05edf426b1584757049a52269c07.jpg,6.210399995325133
2441,173,668,169774,0.9338179035602978,0.78513991634657,0.853049050466558,0.7437538086305986,0.9951403014053254,3118.rf.c666d79c4882118c0a6142e165e3632f.jpg,1.8801999976858497
3128,779,74,169075,0.8006142820373532,0.9768894440669305,0.8800112038078158,0.785732228063659,0.9950709596893491,3137.rf.a83bb9c7dcb0b1dab1a5bf818c423185.jpg,2.643800020450726
2282,1644,17,169113,0.5812531838873853,0.9926054806005827,0.7331726441550945,0.5787471468278279,0.9904019508136095,3150.rf.1ca4ed4a1274c78e2030b61aa874e8ed.jpg,2.3296999861486256
1338,1653,0,170065,0.44734202606327844,0.9999999999252616,0.6181565754182806,0.44734202606327844,0.9904481786242604,3154.rf.96c992d5b0c2d0fc334a116d0ecf9330.jpg,2.131200017174706
1773,53513,8,117762,0.03206960170742671,0.9955081414376469,0.06213748146747203,0.03206496184028635,0.6907301682692307,3159.rf.8e32d9347a6cc6090b8810e9ecf6db13.jpg,5.321300006471574
1265,391,60,171340,0.7638888888427603,0.9547169810600213,0.8487084376443884,0.7371794871365279,0.9973939071745562,3162.rf.c7cb7c1c601f27043c0ddb17b74edfdd.jpg,2.5000000023283064
2573,872,106,169505,0.7468795355371007,0.9604329973512343,0.8403004079723357,0.7245846240291585,0.994348650147929,3172.rf.cb0999cf34611fb5bbdac2a5c68b926b.jpg,1.8459999992046505
